batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,total_runs_x,crr,rrr,results
Delhi Capitals,Mumbai Indians,Mumbai,87,42,4,184,7.46,12.43,0
Delhi Capitals,Mumbai Indians,Mumbai,79,55,6,163,7.75,8.62,0
Chennai Super Kings,Mumbai Indians,Port Elizabeth,113,86,8,148,6.18,7.88,1
Sunrisers Hyderabad,Chennai Super Kings,Mumbai,85,42,5,143,4.46,12.14,0
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,14,40,5,161,11.02,2.1,1
Chennai Super Kings,Kings XI Punjab,Chennai,100,77,9,157,7.95,7.79,0
Delhi Capitals,Sunrisers Hyderabad,Delhi,55,26,3,146,5.81,12.69,0
Royal Challengers Bangalore,Delhi Capitals,Delhi,101,68,8,189,10.15,8.91,1
Mumbai Indians,Chennai Super Kings,Bangalore,161,102,10,188,9.0,9.47,0
Kings XI Punjab,Sunrisers Hyderabad,Kimberley,147,104,10,169,8.25,8.48,1
Delhi Capitals,Kolkata Knight Riders,Delhi,164,94,9,194,6.92,10.47,1
Royal Challengers Bangalore,Chennai Super Kings,Bangalore,34,42,8,129,7.31,4.86,1
Kings XI Punjab,Mumbai Indians,Mohali,123,69,9,188,7.65,10.7,1
Royal Challengers Bangalore,Mumbai Indians,Johannesburg,67,51,9,150,7.22,7.88,1
Royal Challengers Bangalore,Mumbai Indians,Bengaluru,133,82,9,198,10.26,9.73,0
Kings XI Punjab,Rajasthan Royals,Jaipur,122,63,6,192,7.37,11.62,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,83,77,8,133,6.98,6.47,0
Royal Challengers Bangalore,Rajasthan Royals,Bangalore,54,101,10,93,12.32,3.21,1
Mumbai Indians,Kolkata Knight Riders,Mumbai,87,78,9,144,8.14,6.69,1
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,136,69,6,205,8.12,11.83,0
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,44,38,7,183,10.17,6.95,1
Kolkata Knight Riders,Kings XI Punjab,Kolkata,121,76,8,175,7.36,9.55,1
Delhi Capitals,Kings XI Punjab,Dharamsala,29,10,5,172,7.8,17.4,0
Rajasthan Royals,Delhi Capitals,Jaipur,47,39,10,155,8.0,7.23,1
Delhi Capitals,Sunrisers Hyderabad,Cuttack,131,90,9,172,8.2,8.73,0
Rajasthan Royals,Kolkata Knight Riders,Kolkata,80,46,9,180,8.11,10.43,0
Delhi Capitals,Kings XI Punjab,Dharamsala,103,59,8,171,6.69,10.47,0
Chennai Super Kings,Rajasthan Royals,Ranchi,95,76,8,149,7.36,7.5,1
Mumbai Indians,Kings XI Punjab,Durban,64,48,6,120,4.67,8.0,0
Mumbai Indians,Kings XI Punjab,Indore,140,77,9,185,6.28,10.91,1
Mumbai Indians,Delhi Capitals,Delhi,157,111,10,165,5.33,8.49,0
Kolkata Knight Riders,Delhi Capitals,Delhi,163,113,9,169,5.14,8.65,1
Chennai Super Kings,Kolkata Knight Riders,Kolkata,32,17,6,159,7.4,11.29,1
Rajasthan Royals,Sunrisers Hyderabad,Ahmedabad,122,100,10,149,8.1,7.32,1
Kings XI Punjab,Mumbai Indians,Mumbai,161,93,9,198,8.22,10.39,0
Kolkata Knight Riders,Royal Challengers Bangalore,Bengaluru,59,21,6,211,9.21,16.86,1
Kolkata Knight Riders,Chennai Super Kings,Chennai,56,43,6,135,6.16,7.81,0
Kolkata Knight Riders,Mumbai Indians,Kolkata,91,69,6,174,9.76,7.91,0
Sunrisers Hyderabad,Kings XI Punjab,Mohali,45,10,5,202,8.56,27.0,0
Kolkata Knight Riders,Mumbai Indians,Kolkata,41,9,7,183,7.68,27.33,0
Royal Challengers Bangalore,Mumbai Indians,Mumbai,23,26,8,152,8.23,5.31,1
Royal Challengers Bangalore,Delhi Capitals,Delhi,4,7,3,161,8.34,3.43,1
Sunrisers Hyderabad,Kolkata Knight Riders,Cape Town,67,93,9,102,7.78,4.32,0
Delhi Capitals,Kolkata Knight Riders,Kolkata,100,64,9,182,8.79,9.38,0
Rajasthan Royals,Chennai Super Kings,Chennai,110,69,7,183,8.59,9.57,0
Delhi Capitals,Sunrisers Hyderabad,Centurion,43,28,7,149,6.91,9.21,0
Rajasthan Royals,Royal Challengers Bangalore,Bangalore,159,94,10,191,7.38,10.15,1
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,132,112,10,136,3.0,7.07,1
Delhi Capitals,Kings XI Punjab,Chandigarh,165,101,10,182,5.37,9.8,0
Sunrisers Hyderabad,Mumbai Indians,Mumbai,166,108,10,179,6.5,9.22,0
Kings XI Punjab,Chennai Super Kings,Chennai,84,52,8,166,7.24,9.69,0
Kolkata Knight Riders,Kings XI Punjab,Kolkata,75,85,8,120,7.71,5.29,1
Chennai Super Kings,Royal Challengers Bangalore,Chennai,55,81,9,75,3.08,4.07,1
Kings XI Punjab,Rajasthan Royals,Ahmedabad,159,89,9,192,6.39,10.72,1
Kings XI Punjab,Kolkata Knight Riders,Kolkata,34,10,3,164,7.09,20.4,0
Kings XI Punjab,Royal Challengers Bangalore,Bengaluru,170,100,9,214,13.2,10.2,0
Mumbai Indians,Sunrisers Hyderabad,Mumbai,54,33,5,131,5.31,9.82,0
Chennai Super Kings,Kings XI Punjab,Chennai,95,84,10,137,7.0,6.79,0
Kolkata Knight Riders,Mumbai Indians,Kolkata,151,100,9,169,5.4,9.06,1
Royal Challengers Bangalore,Kings XI Punjab,Mohali,71,47,9,181,9.04,9.06,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,200,85,7,234,5.83,14.12,0
Royal Challengers Bangalore,Delhi Capitals,Delhi,70,38,7,192,8.93,11.05,0
Delhi Capitals,Royal Challengers Bangalore,Bengaluru,95,88,9,155,11.25,6.48,1
Kings XI Punjab,Sunrisers Hyderabad,Chandigarh,46,14,3,208,9.17,19.71,0
Delhi Capitals,Kolkata Knight Riders,Kolkata,79,68,5,134,6.35,6.97,0
Delhi Capitals,Sunrisers Hyderabad,Delhi,9,13,5,158,8.36,4.15,0
Royal Challengers Bangalore,Kolkata Knight Riders,Durban,43,31,8,140,6.54,8.32,1
Rajasthan Royals,Mumbai Indians,Mumbai,118,75,9,192,9.87,9.44,1
Sunrisers Hyderabad,Kolkata Knight Riders,Johannesburg,121,93,10,161,8.89,7.81,0
Kolkata Knight Riders,Mumbai Indians,Kolkata,13,5,2,174,8.4,15.6,0
Kings XI Punjab,Chennai Super Kings,Chennai,191,117,10,193,4.0,9.79,0
Delhi Capitals,Rajasthan Royals,Mumbai,189,117,10,193,8.0,9.69,0
Delhi Capitals,Kolkata Knight Riders,Kolkata,139,83,8,207,11.03,10.05,0
Royal Challengers Bangalore,Mumbai Indians,Port Elizabeth,24,3,3,158,6.87,48.0,0
Sunrisers Hyderabad,Delhi Capitals,Durban,134,91,8,174,8.28,8.84,0
Sunrisers Hyderabad,Chennai Super Kings,Hyderabad,143,79,7,187,6.44,10.86,0
Royal Challengers Bangalore,Chennai Super Kings,Chennai,83,63,7,149,6.95,7.9,0
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,160,100,10,186,7.8,9.6,0
Delhi Capitals,Royal Challengers Bangalore,Bangalore,93,68,8,158,7.5,8.21,0
Chennai Super Kings,Rajasthan Royals,Jaipur,121,111,9,127,4.0,6.54,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Nagpur,32,16,4,152,6.92,12.0,0
Chennai Super Kings,Mumbai Indians,Mumbai,124,75,8,188,8.53,9.92,0
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,114,89,9,161,9.1,7.69,1
Kolkata Knight Riders,Chennai Super Kings,Kolkata,91,78,9,155,9.14,7.0,1
Mumbai Indians,Delhi Capitals,Delhi,184,112,10,191,5.25,9.86,0
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,66,51,8,143,6.7,7.76,1
Delhi Capitals,Kolkata Knight Riders,Durban,116,95,10,155,9.36,7.33,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Mumbai,77,114,10,83,6.0,4.05,1
Royal Challengers Bangalore,Kings XI Punjab,Bangalore,63,39,9,204,10.44,9.69,1
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,7,12,7,165,8.78,3.5,1
Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,33,37,7,127,6.8,5.35,0
Sunrisers Hyderabad,Kings XI Punjab,Chandigarh,0,1,7,180,9.08,0.0,1
Delhi Capitals,Kolkata Knight Riders,Kolkata,93,58,8,184,8.81,9.62,1
Mumbai Indians,Sunrisers Hyderabad,Mumbai,149,96,9,179,7.5,9.31,1
Royal Challengers Bangalore,Delhi Capitals,Bengaluru,187,119,10,187,0.0,9.43,1
Royal Challengers Bangalore,Rajasthan Royals,Bangalore,135,76,8,196,8.32,10.66,0
Rajasthan Royals,Sunrisers Hyderabad,Delhi,78,69,6,133,6.47,6.78,1
Kings XI Punjab,Royal Challengers Bangalore,Bangalore,7,12,6,159,8.44,3.5,1
Chennai Super Kings,Mumbai Indians,Hyderabad,36,18,6,153,6.88,12.0,0
Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore,185,118,10,186,3.0,9.41,1
Kings XI Punjab,Rajasthan Royals,Jaipur,106,53,6,192,7.7,12.0,0
Kings XI Punjab,Sunrisers Hyderabad,Chandigarh,81,50,6,151,6.0,9.72,0
Kolkata Knight Riders,Sunrisers Hyderabad,Delhi,28,8,4,163,7.23,21.0,0
Kolkata Knight Riders,Rajasthan Royals,Mumbai,170,97,8,200,7.83,10.52,0
Delhi Capitals,Rajasthan Royals,Jaipur,114,94,8,157,9.92,7.28,0
Kolkata Knight Riders,Rajasthan Royals,Kolkata,57,86,9,82,4.41,3.98,1
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,18,75,7,90,9.6,1.44,1
Kolkata Knight Riders,Mumbai Indians,Kolkata,205,111,9,218,8.67,11.08,0
Chennai Super Kings,Sunrisers Hyderabad,Mumbai,36,30,8,187,10.07,7.2,1
Royal Challengers Bangalore,Chennai Super Kings,Chennai,143,111,10,149,4.0,7.73,0
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,146,112,10,155,6.75,7.82,1
Rajasthan Royals,Kolkata Knight Riders,Kolkata,20,30,6,148,8.53,4.0,1
Sunrisers Hyderabad,Chennai Super Kings,Durban,9,7,6,166,8.34,7.71,0
Mumbai Indians,Kolkata Knight Riders,Mumbai,15,91,8,68,10.97,0.99,1
Royal Challengers Bangalore,Delhi Capitals,Delhi,46,84,10,96,8.33,3.29,1
Rajasthan Royals,Mumbai Indians,Mumbai,46,66,10,134,9.78,4.18,1
Kolkata Knight Riders,Mumbai Indians,Kolkata,11,4,2,174,8.43,16.5,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore,176,116,10,182,9.0,9.1,1
Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,52,19,4,171,7.07,16.42,0
Kolkata Knight Riders,Kings XI Punjab,Cuttack,40,42,9,150,8.46,5.71,1
Mumbai Indians,Royal Challengers Bangalore,Mumbai,88,59,7,163,7.38,8.95,1
Delhi Capitals,Royal Challengers Bangalore,Bengaluru,67,60,8,155,8.8,6.7,1
Mumbai Indians,Royal Challengers Bangalore,Bangalore,47,26,5,143,6.13,10.85,1
Mumbai Indians,Rajasthan Royals,Kolkata,25,15,5,166,8.06,10.0,1
Mumbai Indians,Chennai Super Kings,Chennai,202,115,10,209,8.4,10.54,0
Delhi Capitals,Sunrisers Hyderabad,Delhi,45,36,6,158,8.07,7.5,0
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,50,47,7,206,12.82,6.38,1
Rajasthan Royals,Kings XI Punjab,Chandigarh,178,102,8,196,6.0,10.47,0
Rajasthan Royals,Kings XI Punjab,Jaipur,136,98,8,167,8.45,8.33,1
Kings XI Punjab,Royal Challengers Bangalore,Bengaluru,163,95,9,214,12.24,10.29,0
Mumbai Indians,Rajasthan Royals,Jaipur,146,103,10,163,6.0,8.5,1
Kolkata Knight Riders,Sunrisers Hyderabad,Cuttack,3,7,5,127,6.58,2.57,1
Royal Challengers Bangalore,Delhi Capitals,Bengaluru,95,56,8,187,8.62,10.18,1
Chennai Super Kings,Mumbai Indians,Mumbai,59,29,3,170,7.32,12.21,1
Mumbai Indians,Kolkata Knight Riders,Mumbai,124,100,10,156,9.6,7.44,1
Mumbai Indians,Kolkata Knight Riders,Bangalore,65,79,7,108,6.29,4.94,1
Kolkata Knight Riders,Delhi Capitals,Delhi,78,21,3,224,8.85,22.29,0
Royal Challengers Bangalore,Mumbai Indians,Bangalore,182,88,9,210,5.25,12.41,0
Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,96,94,10,144,11.08,6.13,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore,213,111,10,228,10.0,11.51,0
Mumbai Indians,Chennai Super Kings,Pune,171,117,10,177,12.0,8.77,1
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,107,95,9,146,9.36,6.76,1
Mumbai Indians,Kings XI Punjab,Chandigarh,149,100,10,169,6.0,8.94,1
Mumbai Indians,Kings XI Punjab,Centurion,113,106,9,120,3.0,6.4,1
Sunrisers Hyderabad,Kolkata Knight Riders,Cape Town,10,47,8,102,7.56,1.28,0
Chennai Super Kings,Rajasthan Royals,Jaipur,87,77,8,127,5.58,6.78,1
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,183,117,10,184,2.0,9.38,1
Rajasthan Royals,Kings XI Punjab,Cape Town,91,58,4,140,4.74,9.41,0
Chennai Super Kings,Royal Challengers Bangalore,Chennai,136,69,9,206,8.24,11.83,1
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,186,119,10,186,0.0,9.38,0
Chennai Super Kings,Mumbai Indians,Hyderabad,93,77,9,153,8.37,7.25,0
Kings XI Punjab,Kolkata Knight Riders,Chandigarh,183,116,9,184,1.5,9.47,0
Mumbai Indians,Kings XI Punjab,Chandigarh,54,24,6,169,7.19,13.5,1
Delhi Capitals,Rajasthan Royals,Ahmedabad,102,102,10,142,13.33,6.0,0
Mumbai Indians,Chennai Super Kings,Chennai,90,102,10,113,7.67,5.29,1
Kolkata Knight Riders,Chennai Super Kings,Kolkata,49,32,7,166,7.98,9.19,1
